code;name;en_name
8;Албания;Albania
12;Алжир;Algeria
16;Американский Самоа;American Samoa
20;Андорра;Andorra
24;Ангола;Angola
660;Ангилья;Anguilla
10;Антарктика;Antarctica
28;Антигуа и Барбуда;Antigua and Barbuda
32;Аргентина;Argentina
51;Армения;Armenia
533;Аруба;Aruba
36;Австралия;Australia
40;Австрия;Austria
31;Азербайджан;Azerbaijan
44;Багамские острова;Bahamas
48;Бахрейн;Bahrain
50;Бангладеш;Bangladesh
52;Барбадос;Barbados
112;Беларусь;Belarus
56;Бельгия;Belgium
84;Белиз;Belize
204;Бенин;Benin
60;Бермуды;Bermuda
64;Бутан;Bhutan
68;Боливия;Bolivia
70;Босния и Герцеговина;Bosnia and Herzegovina
72;Ботсвана;Botswana
74;остров Буве;Bouvet Island
76;Бразилия;Brazil
86;Британские территории Индийского океана;British Indian Ocean Territory
96;Бруней;Brunei Darussalam
100;Болгария;Bulgaria
854;Буркина Фасо;Burkina Faso
108;Бурунди;Burundi
116;Камбоджа;Cambodia
120;Камерун;Cameroon
124;Канада;Canada
132;острова Зеленого Мыса;Cape Verde
136;Каймановы острова;Cayman Islands
140;Центральная Африканская Республика;Central African Republic
148;Чад;Chad
830;Нормандские острова;Channel Islands
152;Чили;Chile
156;Китайская Народная Республика;China
162;остров Рождества;Christmas Island
166;Кокосовые острова;Cocos (Keeling) Islands
170;Колумбия;Colombia
174;Коморские острова;Comoros
178;Конго;Congo
180;Демократическая республика Конго;Congo (Democratic Republic of the)
184;острова Кука;Cook Islands
188;Коста Рика;Costa Rica
384;Кот-д'Ивуар;Cote d'Ivoire
191;Хорватия;Croatia
192;Куба;Cuba
196;Кипр;Cyprus
203;Чехия;Czech Republic
208;Дания;Denmark
262;Джибути;Djibouti
212;Доминика;Dominica
214;Доминиканская республика;Dominican Republic
218;Эквадор;Ecuador
818;Египет;Egypt
222;Сальвадор;El Salvador
226;Экваториальная Гвинея;Equatorial Guinea
232;Эритрея;Eritrea
233;Эстония;Estonia
231;Эфиопия;Ethiopia
234;Фарерские острова;Faroe Islands
238;Фолклендские (Мальвинские) острова;Falkland Islands (Malvinas)
242;Фиджи;Fiji
246;Финляндия;Finland
250;Франция;France
